S. No.,AISHE Code,Institute Name,State Name,Management Type
162,U-0197,"National Institute of Technology, Srinagar",Jammu and Kashmir,Central Government
163,U-1057,ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR,Jharkhand,Central Government
164,C-45399,"B S K COLLEGE, SAHIBGANJ",Jharkhand,Central Government
165,C-43263,Central Institute of Psychiatry,Jharkhand,Central Government
166,U-0204,"Central University of Jharkhand, Ranchi",Jharkhand,Central Government
167,U-0840,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI",Jharkhand,Central Government
168,U-1003,Indian Institute of Management Ranchi,Jharkhand,Central Government
169,U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Central Government
170,S-19407,INDO DANISH TOOL ROOM JAMSHEDPUR,Jharkhand,Central Government
171,U-1339,National Institute of Advanced Manufacturing Technology,Jharkhand,Central Government
172,U-0207,"National Institute of Technology, Jamshedpur",Jharkhand,Central Government
173,C-17415,"All India Institute of Speech and Hearing, Manasagangothri,Mysore",Karnataka,Central Government
174,U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Central Government
175,C-56942,EMPLOYEES STATE INSURANCE CORPORATION COLLEGE OF NURSING  GULBARGA,Karnataka,Central Government
176,C-53596,"ESIC College of Nursing, Bangalore",Karnataka,Central Government
177,C-59392,"ESIC DENTAL COLLEGE, GULBARGA",Karnataka,Central Government
178,C-47410,"ESIC MEDICAL COLLEGE ?È?·AND POST GRADUATE INSTITUTE OF MEDICAL SCINECES AND RESEARCH, Bangalore",Karnataka,Central Government
179,U-1089,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR,Karnataka,Central Government
180,U-0803,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD",Karnataka,Central Government
181,U-1014,Indian Institute of Management Bangalore,Karnataka,Central Government
182,U-0220,"Indian Institute of Science, Bengaluru",Karnataka,Central Government
183,U-0899,"Indian Institute of Technology, Dharwad",Karnataka,Central Government
184,C-47329,"INSTITUTE OF AEROSPACE MEDICINE, BANGALORE",Karnataka,Central Government
185,U-0224,Jawaharlal Nehru Centre for Advanced Scientific Research,Karnataka,Central Government
186,C-47467,"National Institute of Fashion Technology (NIFT), Bengaluru",Karnataka,Central Government
187,U-0236,"National Institute of Mental Health and Neuro Sciences, Bangalore",Karnataka,Central Government
188,U-0237,"National Institute of Technology Karnataka, Surathkal",Karnataka,Central Government
189,C-22861,"Aligarh Muslim University, Malappuram Centre.",Kerala,Central Government
190,C-9479,"Central Institute of Fisheries, Nautical & Engineering Training (CIFNET)",Kerala,Central Government
191,C-52030,"Central Institute of Petrochemicals Engineering & Technology, Kochi (CIPET)",Kerala,Central Government
192,U-0252,"Central Univeristy of Kerala, Kasaragod",Kerala,Central Government
