Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1294,AMITY UNIVERSITY,Karnataka,Bengaluru Rural,https://www.amity.edu/bengaluru/,-,Rural
U-1186,AMITY UNIVERSITY,Punjab,S.A.S Nagar,www.amity.edu/mohali,2021,Rural
U-0779,AMITY UNIVERSITY,West Bengal,North 24 Parganas,www.amity.edu,2015,Rural
U-0757,"AMITY UNIVERSITY, CHHATTISGARH",Chhattisgarh,Raipur,www.amity.edu/raipur,2014,Rural
U-0604,"Amity University, Gwalior",Madhya Pradesh,Gwalior,www.amity.edu/gwalior,2010,Urban
U-0155,"Amity University Haryana, Gurgaon",Haryana,Gurugram,www.amity.edu/gurgaon,2010,Rural
U-0875,"AMITY UNIVERSITY,JHARKHAND",Jharkhand,Ranchi,www.amity.edu/ranchi,2016,Urban
U-0995,AMITY UNIVERSITY MUMBAI,Maharashtra,Raigad,www.amity.edu,2014,Rural
U-0964,AMITY UNIVERSITY PATNA,Bihar,Patna,https://amity.edu/Bihar/,2017,Urban
U-0388,"Amity University Rajasthan, Jaipur",Rajasthan,Jaipur,www.amity.edu/jaipur,2007,Rural
U-0497,"Amity University, Uttar Pradesh",Uttar Pradesh,Gautam Buddha Nagar,http://auup.amity.edu,2005,Urban
U-1347,Amrapali University,Uttarakhand,Nainital,amrapali.ac.in,-,Rural
U-0830,ANANT NATIONAL UNIVERSITY,Gujarat,Ahmedabad,http://www.anu.edu.in,2016,Rural
U-1264,Anjaneya University,Chhattisgarh,Raipur,https://anjaneyauniversity.ac.in,-,Rural
U-1389,Annamacharya University,Andhra Pradesh,Annamayya,www.annamacharyauniversity.edu.in,-,Rural
U-1188,ANURAG UNIVERSITY,Telangana,MEDCHAL MALKAJGIRI,www.anurag.edu.in,2020,Rural
U-0156,"Apeejay  Stya University, Sohna",Haryana,Gurugram,www.university.apeejay.edu,2010,Rural
U-0712,APEX PROFESSIONAL UNIVERSITY,Arunachal Pradesh,East Siang,www.apexuniversity.edu.in,2012,Urban
U-1038,APEX UNIVERSITY,Rajasthan,Jaipur,www.apexuniversity.co.in,2018,Rural
U-0697,A P GOYAL SHIMLA UNIVERSITY,Himachal Pradesh,Shimla,www.agu.ebu.in,2012,Rural
U-0920,"ARKA JAIN University, Jharkhand",Jharkhand,Saraikela Kharsawan,www.arkajainuniversity.ac.in,2017,Rural
U-0176,"Arni University, Katgarh (Indora), Kangra",Himachal Pradesh,Kangra,www.arniuniversity.edu.in,2009,Rural
U-0740,ARUNACHAL UNIVERSITY OF STUDIES,Arunachal Pradesh,Lohit,www.arunachaluniversity.ac.in,2012,Rural
U-0947,Arunodaya University,Arunachal Pradesh,Papum Pare,www.arunodayauniversity.ac.in,2014,Urban
U-1277,ARYAVART INTERNATIONAL UNIVERSITY,Tripura,North Tripura,www.aiuniversity.edu.in,-,Rural
U-1352,Aryavart University,Madhya Pradesh,Sehore,www.auindia.ac.in,-,Rural
U-1110,ASBM UNIVERSITY,Odisha,Khordha,www.asbm.ac.in,2019,Rural
U-0744,ASHOKA UNIVERSITY,Haryana,Sonipat,www.ashoka.edu.in,2014,Urban
