Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-12962,"M.M.College, Bikram",Bihar,Patna,https://www.mmcollegebikram.ac.in,1961,Rural,Constituent / University College,University,U-0974,"PATLIPUTRA UNIVERSITY, PATNA",State Public University
C-7043,"MM College of Dental Sciences & Research, Mullana-Ambala.",Haryana,Ambala,https://www.mmumullana.org/institute/dental-sciences,-,Rural,Constituent / University College,Private Un-Aided,U-0168,"Maharishi Markandeshwar University, Mullana-Ambala",Deemed University-Private
C-7046,"MM Institute of Medical Sciences & Research, Mullana-Ambala.",Haryana,Ambala,-,-,-,Constituent / University College,University,U-0168,"Maharishi Markandeshwar University, Mullana-Ambala",Deemed University-Private
C-9659,"M.M. Lata Sanskrit Vidyapeeth, Lohana, Madhubani",Bihar,Madhubani,www.mmlsv.in,1917,Rural,Constituent / University College,University,U-0067,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga",State Public University
C-27139,"M.M. Mahila College, Ara",Bihar,Bhojpur,www.mmmmara.org,1959,Urban,Constituent / University College,University,U-0077,"Veer Kunwar Singh University, Arrah",State Public University
C-69596,"MODEL COLLEGE, CHATRA",Jharkhand,Chatra,-,-,Rural,Constituent / University College,University,U-0212,"Vinoba Bhave University, Hazaribagh",State Public University
C-69537,MODEL COLLEGE DUMKA,Jharkhand,Dumka,modelcollegedumka.ac.in,-,Rural,Constituent / University College,University,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-45218,"MODEL COLLEGE OF ARTS COMMERCE SCIENCE, RATNAGIRI",Maharashtra,Ratnagiri,www.mu.ac.in,2012,Rural,Constituent / University College,State Government,U-0318,University of Mumbai,State Public University
C-70094,MODEL COLLEGE PAKUR,Jharkhand,Pakur,-,-,Rural,Constituent / University College,State Government,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-70093,"MODEL COLLEGE RAJMAHAL , SAHIBGANJ",Jharkhand,Sahebganj,www.modelcollegerajmahal.in,-,Rural,Constituent / University College,University,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-74831,MODEL COLLEGE SUGGABATHAN POREYAHAT GODDA,Jharkhand,Godda,WWW.SKMU.AC.IN,1922,Rural,Constituent / University College,State Government,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-69296,"MODEL DEGREE COLLEGE, BANO",Jharkhand,Simdega,-,-,Rural,Constituent / University College,University,U-0209,"Ranchi University, Ranchi",State Public University
C-71325,"MODEL DEGREE COLLEGE, GARHWA",Jharkhand,Garhwa,-,-,Urban,Constituent / University College,State Government,U-0208,"Nilamber-Pitamber University, Palamu",State Public University
C-69387,"MODEL DEGREE COLLEGE, GHAGHRA",Jharkhand,Gumla,-,-,Rural,Constituent / University College,University,U-0209,"Ranchi University, Ranchi",State Public University
C-42981,"Model Degree College of Arts, Science & Commerce, Buldhana",Maharashtra,Buldhana,www.sgbau.ac.in,2011,Rural,Constituent / University College,State Government,U-0324,"Sant Gadge Baba Amravati University, Amravati",State Public University
C-63255,MODEL MAHAVIDYALAYA SERAIKELLA KHARSAWAN,Jharkhand,Saraikela Kharsawan,https://www.kolhanuniversity.ac.in/index.php/college/constituent-colleges.html,2019,Rural,Constituent / University College,State Government,U-0206,"Kolhan University,  West Singhbhum",State Public University
C-69594,MODEL MHAVIDYALAY NAVADIH PALAJORI,Jharkhand,Deoghar,-,-,Rural,Constituent / University College,University,U-0210,"Sido Kanhu Murmu University, Dumka",State Public University
C-7120,Mohammad Abdul Bari Institute of Juridical Science,West Bengal,Murshidabad,www.mabijs.in,2008,Urban,Constituent / University College,Private Un-Aided,U-0576,"Kalyani University, Kalyani",State Public University
C-71915,MONARK AYURVED MEDICAL COLLEGE AND HOSPITAL,Gujarat,Ahmedabad,www.mamch.monarkuni.ac.in,-,Rural,Constituent / University College,University,U-1129,MONARK UNIVERSITY,State Private University
C-70410,MONARK GOSWAMI COLLEGE OF PHARMACY,Gujarat,Ahmedabad,mgcp.monarkuni.ac.in,-,Rural,Constituent / University College,University,U-1129,MONARK UNIVERSITY,State Private University
C-70411,MONARK HOMOEOPATHIC MEDICAL COLLEGE AND HOSPITAL,Gujarat,Ahmedabad,www.mhmch.monarkuni.ac.in,-,Rural,Constituent / University College,University,U-1129,MONARK UNIVERSITY,State Private University
C-75226,MOTHER TERESA COLLEGE OF NURSING,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,-,2022,Urban,Constituent / University College,State Government,U-0008,"Dr. N.T.R. University of Health Sciences, Vijaywada",State Public University
C-6408,Moti Lal Nehru College,Delhi,South West,http://www.mlncdu.ac.in/,1964,Urban,Constituent / University College,Central Government,U-0120,University of Delhi,Central University
C-6354,Moti Lal Nehru College (Evening),Delhi,South West,www.mlncedu.ac.in,1965,Urban,Constituent / University College,University,U-0120,University of Delhi,Central University
C-19031,"M.P.S. Sc. College, Muzaffarpur",Bihar,Muzaffarpur,www.mpssc.in,1967,Rural,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-8736,M. R. M. College,Bihar,Darbhanga,www.mrmclnmu.ac.in,1958,Urban,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-18998,"MSKB College, Muzaffarpur",Bihar,Muzaffarpur,mskbcollege.ac.in,1965,Urban,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-44657,M.U.C. Women's College,West Bengal,Purba Bardhaman,www.mucwcburdwan.org,1955,Urban,Constituent / University College,State Government,U-0569,The University of Burdwan,State Public University
C-18991,"Muniswar Singh Muneswari Samta Mahavidyalaya, Jandaha, (Vaishali)",Bihar,Vaishali,http://www.msmscollege.in,1970,Rural,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-19001,"Munshi Singh College, Motihari",Bihar,Purbi Champaran,https://www.mscollege.net,1945,Urban,Constituent / University College,University,U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University
C-17645,"Murarka College, Sultanganj",Bihar,Bhagalpur,www.murarkacollegesult.org,1955,Rural,Constituent / University College,State Government,U-0076,"T.M. Bhagalpur University, Bhagalpur",State Public University
C-44045,Murshidabad Minority B.Ed. College,West Bengal,Murshidabad,murshidabadminoritybedcollege.in,2008,Rural,Constituent / University College,Private Aided (Government Aided),U-0766,Baba Saheb Ambedkar Education University,State Public University
