Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1515,Special Round 2,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,ST,278,278
1516,Special Round 2,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,OBC-NCL,393,384
1517,Special Round 2,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,OPEN,446,425
1518,Special Round 2,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,SC,311,309
1519,Special Round 2,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OBC-NCL,691,685
1520,Special Round 2,"National Institute of Technology, Kurukshetra",Control System,Group 1,OPEN,366,366
1521,Special Round 2,"National Institute of Technology, Kurukshetra",Control System,Group 1,SC,260,260
1522,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,OBC-NCL,577,560
1523,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,OPEN,602,597
1524,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,SC,423,423
1525,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,EWS,704,702
1526,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,OPEN,714,706
1527,Special Round 2,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,SC,529,529
1528,Special Round 2,"Punjab Engineering College, Chandigarh",Computer Science & Information Security,Group 1,OPEN,429,429
1529,Special Round 2,"National Institute of Technology, Jamshedpur",Communication Systems Engineering,Group 1,OBC-NCL,354,325
1530,Special Round 2,"National Institute of Technology, Jamshedpur",Communication Systems Engineering,Group 1,OPEN,377,354
1531,Special Round 2,"National Institute of Technology, Jamshedpur",Communication Systems Engineering,Group 1,SC,246,246
1532,Special Round 2,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,OBC-NCL,454,436
1533,Special Round 2,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,ST,260,260
1534,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,OBC-NCL,479,471
1535,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,EWS,483,483
1536,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,OPEN,506,495
1537,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,SC,345,345
1538,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,ST,276,276
1539,Special Round 2,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,EWS,731,718
1540,Special Round 2,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,EWS,327,327
1541,Special Round 2,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OPEN,367,367
1542,Special Round 2,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,OBC-NCL,493,486
1543,Special Round 2,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,EWS,486,486
1544,Special Round 2,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,OPEN,527,526
1545,Special Round 2,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,SC,403,403
1546,Special Round 2,"National Institute of Technology, Jamshedpur",Computer Science & Engineering,Group 1,SC,414,414
1547,Special Round 2,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,OBC-NCL,323,323
1548,Special Round 2,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,EWS,321,321
1549,Special Round 2,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,OPEN,364,364
1550,Special Round 2,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,SC,255,255
1551,Special Round 2,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OBC-NCL,350,334
1552,Special Round 2,National Institute of Technology Arunachal Pradesh,Computer Science & Engineering,Group 1,OBC-NCL,357,350
1553,Special Round 2,National Institute of Technology Arunachal Pradesh,Computer Science & Engineering,Group 1,EWS,335,321
1554,Special Round 2,National Institute of Technology Arunachal Pradesh,Computer Science & Engineering,Group 1,OPEN,389,389
1555,Special Round 2,National Institute of Technology Arunachal Pradesh,Computer Science & Engineering,Group 1,SC,277,277
1556,Special Round 2,"National Institute of Technology, Jamshedpur",Computer Science & Engineering,Group 1,OBC-NCL,552,539
1557,Special Round 2,"National Institute of Technology, Jamshedpur",Computer Science & Engineering,Group 1,OPEN,589,589
1558,Special Round 2,National Institute of Technology Nagaland,Computer Science & Engineering,Group 1,OBC-NCL,330,327
1559,Special Round 2,Maulana Azad National Institute of Technology Bhopal,Communication Systems,Group 1,OBC-NCL,338,330
1560,Special Round 2,National Institute of Technology Nagaland,Computer Science & Engineering,Group 1,EWS,360,360
1561,Special Round 2,National Institute of Technology Nagaland,Computer Science & Engineering,Group 1,OPEN,381,377
1562,Special Round 2,National Institute of Technology Nagaland,Computer Science & Engineering,Group 1,SC,256,255
1563,Special Round 2,National Institute of Technology Puducherry,Computer Science & Engineering,Group 1,OBC-NCL,479,479
1564,Special Round 2,National Institute of Technology Puducherry,Computer Science & Engineering,Group 1,OPEN,510,510
1565,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,Group 1,OPEN,722,722
1566,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,Group 1,SC,539,531
1567,Special Round 2,National Institute of Technology Meghalaya,Computer Science & Engineering,Group 1,OBC-NCL,373,370
1568,Special Round 2,National Institute of Technology Meghalaya,Computer Science & Engineering,Group 1,EWS,377,366
1569,Special Round 2,National Institute of Technology Meghalaya,Computer Science & Engineering,Group 1,OPEN,436,430
1570,Special Round 2,National Institute of Technology Meghalaya,Computer Science & Engineering,Group 1,SC,303,303
1571,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering,Group 1,OBC-NCL,496,489
1572,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering,Group 1,EWS,474,474
1573,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering,Group 1,OPEN,539,539
1574,Special Round 2,National Institute of Technology Hamirpur,Computer Science & Engineering,Group 1,SC,357,344
1575,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,Group 1,OBC-NCL,704,671
1576,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,Group 1,EWS,718,718
1577,Special Round 2,National Institute of Technology Durgapur,Computer Science & Engineering,Group 1,OBC-NCL,535,533
1578,Special Round 2,National Institute of Technology Durgapur,Computer Science & Engineering,Group 1,EWS,533,503
1579,Special Round 2,National Institute of Technology Durgapur,Computer Science & Engineering,Group 1,OPEN,572,562
1580,Special Round 2,National Institute of Technology Goa,Computer Science & Engineering,Group 1,OBC-NCL,464,456
1581,Special Round 2,National Institute of Technology Goa,Computer Science & Engineering,Group 1,OPEN,506,503
1582,Special Round 2,National Institute of Technology Goa,Computer Science & Engineering,Group 1,SC,373,373
1583,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering,Group 1,OPEN,672,656
1584,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering,Group 1,SC,473,473
1585,Special Round 2,National Institute of Technology Delhi,Computer Science & Engineering,Group 1,OBC-NCL,560,556
1586,Special Round 2,National Institute of Technology Delhi,Computer Science & Engineering,Group 1,OPEN,621,621
1587,Special Round 2,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,Group 1,SC,483,477
1588,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,Group 1,OBC-NCL,618,610
1589,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,Group 1,OPEN,658,656
1590,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,Group 1,SC,459,459
1591,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering,Group 1,OBC-NCL,625,618
1592,Special Round 2,National Institute of Technology Calicut,Computer Science & Engineering,Group 1,EWS,643,632
1593,Special Round 2,"National Institute of Technology, Warangal",Computer Integrated Manufacturing,Group 1,OPEN,357,357
