Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
921,Round 1,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Structural Engineering,Group 1,OBC-NCL,337,305
922,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Digital Signal Processing,Group 1,OPEN,514,456
923,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Earth System Science,Group 1,EWS,397,397
924,Round 1,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Power Electronics,Group 1,SC,381,381
925,Round 1,"Jawaharlal Nehru University, New Delhi",Computer Science & Engineering,Group 1,OPEN-PwD,252,252
926,Round 1,NIELIT Deemed to be University- Ropar,Automotive Electronics,Group 1,OBC-NCL,322,322
927,Round 1,NIELIT Deemed to be University- Ropar,Data Engineering,Group 2,OBC-NCL,389,370
928,Round 1,NIELIT Deemed to be University- Ropar,Cyber Forensics and Information Security,Group 2,OBC-NCL,381,368
929,Round 1,NIELIT Deemed to be University- Ropar,Artificial Intelligence,Group 2,OBC-NCL,432,393
930,Round 1,NIELIT Deemed to be University- Gorakhpur,Electronics Design & Technology,Group 1,OPEN,381,350
931,Round 1,NIELIT Deemed to be University Imphal,Artificial Intelligence,Group 1,OPEN,463,402
